feature_id,domain,feature,completion_score,language_demand,weighted_gap,coupling_centrality,matrix_priority,bundle,numpy_stress_evidence,default_boundary,current_evidence
CONC001,concurrency,Thread,0.000,0.205,0.211,0.223,0.148,UB09,0,concurrency,No executable thread node
SYS009,system,Pointer arithmetic,0.000,0.205,0.211,0.213,0.147,UB10,2,ffi,No pointer operation nodes
SYS006,system,Volatile access,0.000,0.205,0.211,0.213,0.147,UB10,0,ffi,No volatile node/qualifier
SYS001,system,FFI call,0.000,0.195,0.201,0.262,0.143,UB10,0,ffi,FFI only recognized as effect/capability concept
SYS003,system,Calling convention,0.000,0.195,0.201,0.262,0.143,UB10,0,ffi,Global ABI unknown
CONC003,concurrency,Coroutine,0.000,0.174,0.180,0.222,0.125,UB09,0,concurrency,No coroutine node
CONC014,concurrency,Async stream,0.000,0.174,0.180,0.222,0.125,UB09,0,concurrency,No model
SEM034,semantics,Named/default/missing arguments,0.796,0.595,0.125,0.954,0.124,UB02,6,core,Named/default/missing supported
SEM010,semantics,Overflow policy,0.796,0.571,0.120,0.954,0.119,UB02,0,core,Overflow field exists
SYS002,system,External symbol/library,0.000,0.164,0.169,0.226,0.118,UB10,0,ffi,No explicit external symbol node
EFF015,effect,Random,0.796,0.542,0.114,0.925,0.111,UB05,0,core,random exists
CTRL008,control,Numeric for,0.796,0.538,0.113,0.927,0.111,UB04,0,core,ForStmt/IterationExpr exist
SEM002,semantics,Lazy evaluation,0.796,0.542,0.114,0.893,0.110,UB02,0,core,Global lazy_demand and call modes exist
EFF011,effect,Synchronization,0.796,0.557,0.117,0.807,0.109,UB05,0,concurrency,synchronization exists
CTRL010,control,Infinite loop,0.796,0.521,0.110,0.927,0.107,UB04,0,core,Repeat approximates infinite loop
EFF010,effect,Thread/task spawn,0.796,0.542,0.114,0.807,0.106,UB05,0,concurrency,thread.spawn exists
DECL008,declaration,Type alias,0.000,0.137,0.141,0.331,0.105,UB06,0,core,No first-class type alias node
EFF006,effect,Filesystem,0.796,0.508,0.107,0.925,0.104,UB05,0,core,filesystem.read/write exist
EFF014,effect,Time,0.796,0.508,0.107,0.925,0.104,UB05,0,core,time exists
EFF007,effect,Network,0.796,0.508,0.107,0.925,0.104,UB05,0,core,network exists
FOUND004,foundation,Attributes,0.796,0.508,0.107,0.817,0.100,UB08,0,core,Attributes map exists on statements/expressions
FOUND006,foundation,Semantic confidence,0.796,0.508,0.107,0.817,0.100,UB08,0,core,SemanticSemantics.Confidence exists
FOUND005,foundation,Extensions,0.796,0.508,0.107,0.817,0.100,UB08,0,core,Extensions fields exist
FOUND007,foundation,Contracts,0.796,0.508,0.107,0.817,0.100,UB08,0,core,SemanticContracts exists
FOUND015,foundation,Dialect registry,0.796,0.508,0.107,0.817,0.100,UB08,0,core,SemanticDialect exists
FOUND019,foundation,Unknown preservation,0.796,0.508,0.107,0.814,0.100,UB08,0,core,Documented policy; partial implementation
EFF013,effect,FFI,0.796,0.508,0.107,0.811,0.099,UB05,0,ffi,ffi exists
SYS004,system,Variadic ABI,0.000,0.137,0.141,0.191,0.097,UB10,0,ffi,No ABI varargs model
SYS017,system,Linkage/storage class,0.000,0.137,0.141,0.191,0.097,UB10,0,ffi,No storage/linkage model
SYS010,system,Bitfields,0.000,0.137,0.141,0.187,0.096,UB10,0,c_cpp,No bitfield model
SYS011,system,Union/reinterpret,0.000,0.137,0.141,0.174,0.096,UB10,0,ffi,No union storage model/cast
SYS012,system,Preprocessor/macro,0.000,0.137,0.141,0.170,0.096,UB10,17,c_cpp,No preprocessing semantic dialect
SYS005,system,System call,0.000,0.096,0.099,0.180,0.067,UB10,0,ffi,No syscall node
DECL002,declaration,Constant declaration,0.000,0.068,0.070,0.283,0.051,UB06,0,core,No distinct const declaration
DECL004,declaration,Destructuring pattern,0.000,0.068,0.070,0.257,0.050,UB36,172,core,No binding-pattern tree
DECL006,declaration,Lambda/closure declaration,0.409,0.106,0.065,0.312,0.047,UB36,0,core,FunctionExpr exists; capture model absent
CONC011,concurrency,Parallel loop,0.000,0.068,0.070,0.136,0.047,UB37,0,concurrency,No parallel loop node
CONC013,concurrency,Thread-local storage,0.000,0.068,0.070,0.136,0.047,UB09,0,concurrency,No model
CONC005,concurrency,Channel,0.000,0.068,0.070,0.132,0.047,UB09,0,concurrency,No channel node/type
GPU010,gpu,Address spaces,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU009,gpu,GPU atomics,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU003,gpu,Shader stages,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No stage model
GPU013,gpu,Divergence/subgroup control,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU002,gpu,Kernel/compute entry,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No executable GPU node
GPU004,gpu,Invocation IDs,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU012,gpu,Resource bindings/layout,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU007,gpu,GPU buffers,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU008,gpu,Texture/sampler,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU005,gpu,Workgroup/subgroup,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU006,gpu,Barrier,0.000,0.031,0.032,0.140,0.021,UB28,0,gpu,No model
GPU011,gpu,Cooperative matrix,0.000,0.031,0.032,0.124,0.021,UB28,0,gpu,No model
GPU001,gpu,GPU dialect container,0.297,0.031,0.022,0.140,0.015,UB28,0,gpu,Generic dialect exists; gpu example documented
DECL025,declaration,Label declaration,0.000,0.000,0.000,0.239,0.000,UB39,0,core,No label node
DECL024,declaration,Pattern declaration,0.000,0.000,0.000,0.228,0.000,UB38,31,core,No generic pattern AST
SYS015,system,Dynamic loading,0.000,0.000,0.000,0.098,0.000,UB44,0,ffi,No dynamic loader node
SYS016,system,Embedded resource,0.000,0.000,0.000,0.212,0.000,UB45,0,core,No resource node
CONC007,concurrency,Mutex,0.000,0.000,0.000,0.095,0.000,UB41,0,concurrency,Only generic synchronization effect
CONC006,concurrency,Actor,0.000,0.000,0.000,0.095,0.000,UB40,0,concurrency,No actor model
CONC008,concurrency,RW lock,0.000,0.000,0.000,0.095,0.000,UB42,0,concurrency,No model
CONC009,concurrency,Semaphore/condition,0.000,0.000,0.000,0.095,0.000,UB43,0,concurrency,No model
