language,construct_id,construct,required,required_state,ts_required,semantic_required,ts_match_count,ts_evidence_names,requirement_class,requirement_vector_13,implementation_class,implementation_role_vector,uast_structures,uasf_seed,semantic_axes,uast_relations,uast_fields,uast_layers,current_frontend_capability,missing,ROLE_MODULE_SCOPE,ROLE_IMPORT,ROLE_DECLARATION,ROLE_BINDING,ROLE_ASSIGNMENT,ROLE_FUNCTION,ROLE_PARAMETER,ROLE_CALL_DISPATCH,ROLE_MEMBER_ACCESS,ROLE_INDEX_SLICE,ROLE_LITERAL,ROLE_CONTAINER_AGGREGATE,ROLE_ITERATION,ROLE_CONTROL_BRANCH,ROLE_CONTROL_TRANSFER,ROLE_CLOSURE_CAPTURE,ROLE_COMPREHENSION,ROLE_PATTERN,ROLE_EXCEPTION,ROLE_ASYNC_CONCURRENCY,ROLE_TYPE_DECL,ROLE_TYPE_EXPR,ROLE_GENERIC,ROLE_MEMORY_REFERENCE,ROLE_CONVERSION_ASSERT,ROLE_ANNOTATION_MODIFIER,ROLE_MACRO_COMPILETIME,ROLE_FFI_ABI,ROLE_SYNCHRONIZATION,ROLE_OPERATOR,ROLE_LABEL_GOTO,ROLE_OWNERSHIP_LIFETIME
java,C010,Call,1,SEM,0,1,0,,RQ_f3b2ce1a487b,1111111111111,IMPL_62fd00586e3f,00000001000000000000000000000100,CallExpr;DispatchResolution,UASF_0204;UASF_0221,conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,call.calls;conversion.converts;data.def_use;data.operand;data.result;dispatch.resolves;effect.has;evaluation.before;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,arguments;attributes;callee;candidates;conversion;dispatch;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_origin;type_ref;type_shape;value,data.flow;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin,C010,Call,1,BOTH,1,1,8,_call_suffix_no_trailing_lambda;_generic_call_expression;_generic_call_expression_no_trailing_lambda;_generic_call_suffix;_generic_call_suffix_no_trailing_lambda;call_expression;call_expression_no_trailing_lambda;call_suffix,RQ_f3b2ce1a487b,1111111111111,IMPL_62fd00586e3f,00000001000000000000000000000100,CallExpr;DispatchResolution,UASF_0204;UASF_0221,conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,call.calls;conversion.converts;data.def_use;data.operand;data.result;dispatch.resolves;effect.has;evaluation.before;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,arguments;attributes;callee;candidates;conversion;dispatch;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_origin;type_ref;type_shape;value,data.flow;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
swift,C010,Call,1,TS,1,?,4,call_expression;call_suffix;expr_hack_at_ternary_binary_call_suffix;macro_invocation,RQ_f3b2ce1a487b,1111111111111,IMPL_62fd00586e3f,00000001000000000000000000000100,CallExpr;DispatchResolution,UASF_0204;UASF_0221,conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,call.calls;conversion.converts;data.def_use;data.operand;data.result;dispatch.resolves;effect.has;evaluation.before;operation.kind;overload.candidate;type.constraint;type.convert;type.has;type.origin;type.parameter,arguments;attributes;callee;candidates;conversion;dispatch;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_origin;type_ref;type_shape;value,data.flow;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,C011,MemberAccess,1,SEM,0,1,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,C011,MemberAccess,1,BOTH,1,1,1,selector_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,C011,MemberAccess,1,BOTH,1,1,1,field_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp,C011,MemberAccess,1,BOTH,1,1,2,field_expression;qualified_identifier,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,C011,MemberAccess,1,TS,1,?,1,field_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,C011,MemberAccess,1,SEM,0,1,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zig,C011,MemberAccess,1,TS,1,?,1,field_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julia,C011,MemberAccess,1,TS,1,?,1,field_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nim,C011,MemberAccess,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,C011,MemberAccess,1,BOTH,1,1,2,member_access_expression;qualified_identifier,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,C011,MemberAccess,1,SEM,0,1,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin,C011,MemberAccess,1,BOTH,1,1,2,_member_access_operator;navigation_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swift,C011,MemberAccess,1,TS,1,?,2,navigation_expression;selector_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_e4c0186f177d,00010000100000000000000000000000,MemberAccessExpr,UASF_0219,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,C012,Index,1,SEM,0,1,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
go,C012,Index,1,BOTH,1,1,1,index_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rust,C012,Index,1,BOTH,1,1,1,index_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp,C012,Index,1,BOTH,1,1,4,subscript_argument_list;subscript_designator;subscript_expression;subscript_range_designator,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c,C012,Index,1,TS,1,?,3,subscript_designator;subscript_expression;subscript_range_designator,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
python,C012,Index,1,BOTH,1,1,1,subscript,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zig,C012,Index,1,TS,1,?,1,index_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
julia,C012,Index,1,TS,1,?,1,index_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nim,C012,Index,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
csharp,C012,Index,1,SEM,0,1,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
java,C012,Index,1,SEM,0,1,0,,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin,C012,Index,1,BOTH,1,1,1,indexing_expression,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
swift,C012,Index,1,TS,1,?,2,subscript;subscript_declaration,RQ_db1dbd82fe87,11111111?1111,IMPL_bf593514388e,00000000010000000000000000000100,IndexExpr;MapIndexExpr,UASF_0214;UASF_0225,data.flow;effect.graph;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;effect;evaluation;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
r,C013,Slice,1,SEM,0,1,0,,RQ_76d428545d37,1111?1???111?,IMPL_443565cf1bb8,00000000010000000000000000000100,SliceExpr,UASF_0225;UASF_0231,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;lifetime;memory_model;operands;operation;ownership;provenance;results;semantic_facets;source_span;storage;type_ref;type_shape;value,data.flow;evaluation;memory.lifetime;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
go,C013,Slice,1,BOTH,1,1,1,slice_expression,RQ_76d428545d37,1111?1???111?,IMPL_443565cf1bb8,00000000010000000000000000000100,SliceExpr,UASF_0225;UASF_0231,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;lifetime;memory_model;operands;operation;ownership;provenance;results;semantic_facets;source_span;storage;type_ref;type_shape;value,data.flow;evaluation;memory.lifetime;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rust,C013,Slice,1,BOTH,1,1,1,slice_pattern,RQ_76d428545d37,1111?1???111?,IMPL_443565cf1bb8,00000000010000000000000000000100,SliceExpr,UASF_0225;UASF_0231,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;lifetime;memory_model;operands;operation;ownership;provenance;results;semantic_facets;source_span;storage;type_ref;type_shape;value,data.flow;evaluation;memory.lifetime;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp,C013,Slice,1,SEM,0,1,0,,RQ_76d428545d37,1111?1???111?,IMPL_443565cf1bb8,00000000010000000000000000000100,SliceExpr,UASF_0225;UASF_0231,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;lifetime;memory_model;operands;operation;ownership;provenance;results;semantic_facets;source_span;storage;type_ref;type_shape;value,data.flow;evaluation;memory.lifetime;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c,C013,Slice,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_76d428545d37,1111?1???111?,IMPL_443565cf1bb8,00000000010000000000000000000100,SliceExpr,UASF_0225;UASF_0231,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;lifetime;memory_model;operands;operation;ownership;provenance;results;semantic_facets;source_span;storage;type_ref;type_shape;value,data.flow;evaluation;memory.lifetime;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
python,C013,Slice,1,SEM,0,1,0,,RQ_76d428545d37,1111?1???111?,IMPL_443565cf1bb8,00000000010000000000000000000100,SliceExpr,UASF_0225;UASF_0231,data.flow;evaluation.order;memory.model;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;effect.has;evaluation.before;memory.aliases;memory.borrows;memory.owns;operation.kind;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;effects;evaluation_order;extensions;id;kind;lifetime;memory_model;operands;operation;ownership;provenance;results;semantic_facets;source_span;storage;type_ref;type_shape;value,data.flow;evaluation;memory.lifetime;structure.expression;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
