feature,category,file,line,snippet
generic_constraint,type,CHANGELOG.md,343,with a module selector. Constraints in `where` clauses also cannot use a module selector to refer to an associated
generic_constraint,type,CHANGELOG.md,952,boundary. This is done by introducing the concept of *isolation regions* that
generic_constraint,type,CHANGELOG.md,1000,`Copyable` constraint that would otherwise appear on that type. This permits
generic_constraint,type,CHANGELOG.md,1062,"be restored, by removing the erroneous constraint and using the more general"
generic_constraint,type,CHANGELOG.md,1823,New types representing time and clocks were introduced. This includes a protocol `Clock` defining clocks which allow for defining a concept of now and a way to wake up after a given instant. Additionally a new protocol `InstantProtocol` for defining instants i
generic_constraint,type,CHANGELOG.md,1848,`any` type having the same constraints as the associated type. For example:
global_state,effect,CHANGELOG.md,1312,Global and static variables are prone to data races because they provide memory that can be accessed from any program context. Strict concurrency checking in Swift 5.10 prevents data races on global and static variables by requiring them to be either:
global_state,effect,CHANGELOG.md,1338,A new `nonisolated(unsafe)` modifier can be used to annotate a global or static variable to suppress data isolation violations when manual synchronization is provided:
global_state,effect,CHANGELOG.md,2647,"of actor isolation outside of a single actor type, so that global state"
global_state,effect,CHANGELOG.md,2651,"work with global variables in a concurrent program, as well as modeling"
global_state,effect,CHANGELOG.md,3899,"simultaneous access of class properties, global variables (including"
global_state,effect,CHANGELOG.md,7095,access (like global variables). Protocols now declare type requirements as
global_state,effect,CHANGELOG.md,7944,and classes (they aren't allowed as local or global variables yet) and cannot
global_state,effect,CHANGELOG.md,9779,* Global variables and static properties are now lazily initialized on first
goto_label,control,docs/ErrorHandlingRationale.md,1015,(hence `goto fail`); this is because there's no inherent language
goto_label,control,lib/AST/ASTVerifier.cpp,3726,goto fail;
goto_label,control,lib/AST/RequirementMachine/RequirementMachineRequests.cpp,887,goto next;
goto_label,control,lib/AST/RequirementMachine/RequirementMachineRequests.cpp,899,goto next;
goto_label,control,lib/AST/RequirementMachine/RequirementMachineRequests.cpp,903,goto next;
goto_label,control,lib/AST/RequirementMachine/RequirementMachineRequests.cpp,908,goto next;
goto_label,control,lib/AST/RequirementMachine/RequirementMachineRequests.cpp,914,goto next;
goto_label,control,lib/ConstExtract/ConstExtract.cpp,68,goto visitAuxiliaryDecls;
identifier,expression,CHANGELOG.md,4410,case identifier(String)
identifier,expression,CHANGELOG.md,4414,"Token.identifier(""x"") == .number(5) // false"
identifier,expression,CHANGELOG.md,4415,"Token.identifier(""x"") == .identifier(""x"") // true"
identifier,expression,CHANGELOG.md,4885,Initializers on `Int` and `UInt` that accept an `ObjectIdentifier` must now use an explicit `bitPattern` label.
identifier,expression,CHANGELOG.md,4888,let x: ObjectIdentifier = ...
identifier,expression,CHANGELOG.md,5572,* The operator identifier lexer grammar has been revised to simplify the rules
identifier,expression,CHANGELOG.md,6225,enum AssetIdentifier: String {
identifier,expression,CHANGELOG.md,6231,convenience init(assetIdentifier: AssetIdentifier) {
if,control,CHANGELOG.md,5932,"* if statements can be labeled, and labeled break statements can be used as a"
if,control,CHANGELOG.md,5933,jump out of the matching if statement.
if,control,CHANGELOG.md,5935,An unlabeled break does not exit the if statement. It exits the enclosing
if,control,CMakeLists.txt,735,"""A list of [module_regexp1;flags1;module_regexp2;flags2,...] which can be used to apply specific flags to modules that do not match a cmake regexp. It always applies the first regexp that does not match. The reason this is necessary is that cmake does not prov"
if,control,benchmark/single-source/ToddCoxeter.swift,457,/// The if statements above should be exhaustive.
if,control,include/swift/AST/ASTBridging.h,2536,"SWIFT_NAME(""BridgedIfStmt.createParsed(_:labelInfo:ifLoc:conditions:then:"""
if,control,include/swift/AST/ASTBridging.h,2538,BridgedIfStmt BridgedIfStmt_createParsed(
if,control,include/swift/AST/ASTScope.h,1466,class IfStmtScope final : public LabeledConditionalStmtScope {
import,declaration,CHANGELOG.md,85,* The compiler API note `SwiftImportAs` now has support for always importing C structs as `OpaquePointer`.
import,declaration,CHANGELOG.md,86,This can be used to unify the imported C pointer type in situations where the visibility of the struct might differ.
import,declaration,CHANGELOG.md,87,"For example, the C `FILE` pointer in Android imports differently on API 23 compared to API 24 and above. We can unify that using the new API note:"
import,declaration,CHANGELOG.md,94,SwiftImportAs: opaque_pointer
import,declaration,CHANGELOG.md,97,"* When building modules using library evolution, Swift now uses module selectors in module interface files by default,"
import,declaration,CHANGELOG.md,114,"`~Escapable`, which relaxes the requirement on types conforming to that protocol. In other words, types can"
import,declaration,CHANGELOG.md,115,now implement those associated-type requirements with types that may be noncopyable or nonescapable:
import,declaration,CHANGELOG.md,151,now use typed-throws and will warn if an operation is throwing and the result of the task is not
index,expression,CHANGELOG.md,2220,"Opaque types can now be used in the parameters of functions and subscripts, when they provide a shorthand syntax for the introduction of a generic parameter. For example, the following:"
index,expression,CHANGELOG.md,2710,* Type names are no longer allowed as an argument to a subscript parameter that expects a metatype type
index,expression,CHANGELOG.md,2717,subscript(a: MyValue.Type) -> Int { get { ... } }
index,expression,CHANGELOG.md,2725,Accepting subscripts with `MyValue` as an argument was an oversight because `MyValue` requires explicit `.self`
index,expression,CHANGELOG.md,2730,"Read-only computed properties and subscripts can now define their `get` accessor to be `async` and/or `throws`, by writing one or both of those keywords between the `get` and `{`. Thus, these members can now make asynchronous calls or throw errors in the proce"
index,expression,CHANGELOG.md,2742,subscript(_ day: Date) -> [Transaction] {
index,expression,CHANGELOG.md,2752,subscript(_ day: Date) -> [T] { get async }
index,expression,CHANGELOG.md,3058,"Functions, subscripts, and initializers may now have more than one variadic parameter, as long as all parameters which follow variadic parameters are labeled. This makes declarations like the following valid:"
interface_trait,declaration,CHANGELOG.md,8,* Actors are now allowed to conform to protocols annotated with global actor
interface_trait,declaration,CHANGELOG.md,10,"annotations from isolated property wrappers, or from protocols with inferred"
interface_trait,declaration,CHANGELOG.md,14,Inferred isolation of protocols under `-default-isolation MainActor`:
interface_trait,declaration,CHANGELOG.md,19,protocol P {} // inferred @MainActor
interface_trait,declaration,CHANGELOG.md,97,"* When building modules using library evolution, Swift now uses module selectors in module interface files by default,"
interface_trait,declaration,CHANGELOG.md,100,adding `-Xfrontend -disable-module-selectors-in-module-interface` to `OTHER_SWIFT_FLAGS`.
interface_trait,declaration,CHANGELOG.md,113,Introduced the ability to define protocols with associated types that are `~Copyable` and/or
interface_trait,declaration,CHANGELOG.md,114,"`~Escapable`, which relaxes the requirement on types conforming to that protocol. In other words, types can"
io,effect,benchmark/scripts/test_Benchmark_Driver.py,171,STDOUT = object()
io,effect,benchmark/scripts/test_Benchmark_Driver.py,178,"stdin=None,"
io,effect,benchmark/scripts/test_Benchmark_Driver.py,179,"stdout=None,"
io,effect,benchmark/scripts/test_Benchmark_Driver.py,185,"return self.record_and_respond(args, stdin, stdout, stderr, shell)"
io,effect,benchmark/scripts/test_Benchmark_Driver.py,189,"def record_and_respond(self, args, stdin, stdout, stderr, shell):"
io,effect,benchmark/scripts/test_Benchmark_Driver.py,190,"# _ = stdin, stdout, shell # ignored in mock"
io,effect,benchmark/scripts/test_Benchmark_Driver.py,191,"assert stderr == self.STDOUT, ""Errors are NOT redirected to STDOUT"""
io,effect,benchmark/scripts/test_compare_perf_tests.py,948,"""""""Writes Markdown formatted report to stdout"""""""
ir,meta,CHANGELOG.md,99,"issues are disabled in this configuration and can now be removed. If necessary, you can disable this new behavior by"
ir,meta,CHANGELOG.md,285,"When you encounter errors while encoding or decoding `Codable` types, the resulting error messages are now more human-readable thanks to improved `debugDescription` output."
ir,meta,CHANGELOG.md,303,"stores such a value to addressable memory, it is free to skip any padding"
ir,meta,CHANGELOG.md,1050,argument was silently ignored and type checking would proceed as if it
ir,meta,CHANGELOG.md,1739,"This is a control-flow sensitive check, meaning an illegal access does not necessarily appear on a source line after an escape of `self` (in the example above, consider _when_ the `defer` is executed). The compiler will always point out one of the escapes of `"
ir,meta,CHANGELOG.md,1782,"necessary. Now, the non-isolated async function will always hop to the global"
ir,meta,CHANGELOG.md,3016,"@available(*, unavailable, message: ""Not supported anymore"")"
ir,meta,CHANGELOG.md,3019,"@available(*, deprecated, message: ""Suggest using something else"")"
layout_alignment,memory,CHANGELOG.md,1974,$0.copyBytes(from: buffer.prefix(MemoryLayout<UInt32>.size))
layout_alignment,memory,CHANGELOG.md,1984,"alignment restriction lifted, so that storing to arbitrary offsets of raw"
layout_alignment,memory,CHANGELOG.md,1991,or previous alignment boundary:
layout_alignment,memory,CHANGELOG.md,1997,public func alignedUp(toMultipleOf alignment: Int) -> UnsafeRawPointer
layout_alignment,memory,CHANGELOG.md,1998,public func alignedDown(toMultipleOf alignment: Int) -> UnsafeRawPointer
layout_alignment,memory,CHANGELOG.md,2601,"perform the requisite dynamic layout needed to support this in general, which"
layout_alignment,memory,CHANGELOG.md,4843,"The functions `sizeof()`, `strideof()`, and `alignof()` have been removed."
layout_alignment,memory,CHANGELOG.md,4844,Memory layout properties for a type `T` are now spelled
lifetime,binding,CHANGELOG.md,1561,The lifetime of a local variable value can be explicitly ended using the
lifetime,binding,CHANGELOG.md,4778,copy of the closure and delimit its expected lifetime. For example:
lifetime,binding,CHANGELOG.md,7181,"lifetime of the call. This enables some minor performance optimizations,"
lifetime,binding,CHANGELOG.md,8113,lifetime of a `CFStringRef` the same way that it manages the lifetime
lifetime,binding,CHANGELOG.md,8260,"`-[{NS,UI}Color CGColor]`, are now safe to use and follow the same lifetime"
lifetime,binding,docs/ABIStabilityManifesto.md,31,"ABI stability means locking down the ABI to the point that future compiler versions can produce binaries conforming to the stable ABI. Once an ABI is stable, it tends to persist for the rest of the platform's lifetime due to ever-increasing mutual dependencies"
lifetime,binding,docs/Arrays.md,59,"backing buffer, a `ArraySlice` may artificially prolong the lifetime"
lifetime,binding,docs/HighLevelSILOptimizations.rst,323,throughout their lifetime. This enables more aggressive optimizations by the
literal_boolean,expression,CHANGELOG.md,275,Task.isCancelled // true
literal_boolean,expression,CHANGELOG.md,277,Task.isCancelled // false
literal_boolean,expression,CHANGELOG.md,693,"false-positive data-race warnings through better `Sendable` inference,"
literal_boolean,expression,CHANGELOG.md,902,case .soup: true
literal_boolean,expression,CHANGELOG.md,903,default: false
literal_boolean,expression,CHANGELOG.md,1078,guard left == right else { return false }
literal_boolean,expression,CHANGELOG.md,1080,return true
literal_boolean,expression,CHANGELOG.md,1428,#assert(x + y == z) // expands to check the result of x + y == z and report failure if it's false
literal_null,expression,CHANGELOG.md,115,now implement those associated-type requirements with types that may be noncopyable or nonescapable:
literal_null,expression,CHANGELOG.md,289,"`typeMismatch(Swift.String, Swift.DecodingError.Context(codingPath: [_CodingKey(stringValue: ""Index 0"", intValue: 0), CodingKeys(stringValue: ""address"", intValue: nil), CodingKeys(stringValue: ""city"", intValue: nil), CodingKeys(stringValue: ""birds"", intValue: "
literal_null,expression,CHANGELOG.md,631,// error: instance method 'parse()' is inaccessible due to missing import of
literal_null,expression,CHANGELOG.md,1014,"Using an implicit default `nil` value for task local initialization, when combined with a type alias:"
literal_null,expression,CHANGELOG.md,1025,static var number: MyValue = nil
literal_null,expression,CHANGELOG.md,1645,"The API of `UnsafeMutableRawPointer`, `UnsafeMutableBufferPointer`, `UnsafeMutableRawBufferPointer` were improved, adding previously missing initialization (and deinitialization) methods, including more performant initialization from `Collection` types."
literal_null,expression,CHANGELOG.md,2624,"print(""nil"")"
literal_null,expression,CHANGELOG.md,2629,printTraceID() // prints: nil
literal_numeric,expression,CHANGELOG.md,7364,"`convertFrom`. For example, `IntegerLiteralConvertible` now has the"
literal_numeric,expression,CHANGELOG.md,7368,init(integerLiteral value: IntegerLiteralType)
literal_numeric,expression,CHANGELOG.md,7663,numeric literals.
literal_numeric,expression,CHANGELOG.md,10813,* Numeric literals can now use underscores as separators. For example:
literal_numeric,expression,benchmark/single-source/BinaryFloatingPointConversionFromBinaryInteger.swift,44,extension MockBinaryInteger : ExpressibleByIntegerLiteral {
literal_numeric,expression,benchmark/single-source/BinaryFloatingPointConversionFromBinaryInteger.swift,45,init(integerLiteral value: T.IntegerLiteralType) {
literal_numeric,expression,benchmark/single-source/BinaryFloatingPointConversionFromBinaryInteger.swift,46,_value = T(integerLiteral: value)
literal_numeric,expression,benchmark/single-source/FloatingPointConversion.swift,72,init(integerLiteral value: _Value.IntegerLiteralType) {
literal_string,expression,CHANGELOG.md,73,An optional `reason:` parameter accepts a string literal for documentation.
literal_string,expression,CHANGELOG.md,5713,"Along with this change, the use of string literals as selectors has"
literal_string,expression,CHANGELOG.md,5720,"Generally, such string literals should be replaced with uses of"
literal_string,expression,CHANGELOG.md,5730,Note that the compiler is now checking the string literals used to
literal_string,expression,CHANGELOG.md,5788,* Expressions interpolated in strings may now contain string literals.
literal_string,expression,CHANGELOG.md,5941,"* Concatenation of Swift string literals, including across multiple lines, is"
literal_string,expression,CHANGELOG.md,7732,"* The `\x`, `\u` and `\U` escape sequences in string literals have been"
literal_string,expression,CHANGELOG.md,8881,constants. Normal string literals are imported as `CString`; `NSString` literals
lock_mutex,concurrency,benchmark/single-source/StringEnum.swift,163,"case c228 = ""monitor"""
lock_mutex,concurrency,benchmark/single-source/StringSwitch.swift,164,"case ""monitor"": return 139"
lock_mutex,concurrency,docs/ABIStabilityManifesto.md,423,"All progress and issue tracking will be done through JIRA on [bugs.swift.org](https://bugs.swift.org), using the ""AffectsABI"" label. We will make an ABI stability dashboard to more easily monitor specifics and progress. The next step is to start making issues "
lock_mutex,concurrency,docs/RequestEvaluator.md,11,"way in which one can request information about the AST (e.g., ""what is the superclass of the given class?""). The request-evaluator manages any state in its own caches, and tracks the dependencies among these requests automatically, identifying (and reporting) "
lock_mutex,concurrency,docs/SynchronizationMutexLinux.md,1,# Synchronization: Linux Mutex
lock_mutex,concurrency,docs/SynchronizationMutexLinux.md,3,Implementation notes for `Synchronization.Mutex` on Linux
lock_mutex,concurrency,docs/SynchronizationMutexLinux.md,4,(`stdlib/public/Synchronization/Mutex/LinuxImpl.swift`).
lock_mutex,concurrency,docs/SynchronizationMutexLinux.md,6,"The lock is a plain-futex mutex with a 3-state lock word, a bounded user-space"
macro,meta,CHANGELOG.md,175,"or local variables with attached macros that relocate the initializer into an accessor, e.g:"
macro,meta,CHANGELOG.md,186,@LazyLikeMacro var x = { y } // error: use of local variable 'y' before its declaration
macro,meta,CHANGELOG.md,702,"client systems, thanks to the new `@Resolvable` macro and runtime changes."
macro,meta,CHANGELOG.md,1010,task locals are now implemented using a macro. The macro has the same general semantics
macro,meta,CHANGELOG.md,1118,Non-built-in expression macros can now be used as default arguments that
macro,meta,CHANGELOG.md,1119,"expand at each call site. For example, a custom `#CurrentFile` macro used as"
macro,meta,CHANGELOG.md,1124,public macro CurrentFile() -> String = ...
macro,meta,CHANGELOG.md,1141,"// Prints ""Hi client"" if macro expands to ""Hi \(person)"""
manual_memory,memory,CHANGELOG.md,570,func evilMalloc(size: Int) -> Int {
manual_memory,memory,CHANGELOG.md,571,// use of global function 'malloc' involves unsafe type 'UnsafeMutableRawPointer'
manual_memory,memory,CHANGELOG.md,572,return Int(bitPattern: malloc(size))
manual_memory,memory,CHANGELOG.md,581,func evilMalloc(size: Int) -> Int {
manual_memory,memory,CHANGELOG.md,582,return unsafe Int(bitPattern: malloc(size)) // no warning
manual_memory,memory,benchmark/scripts/CMakeLists.txt,4,${CMAKE_CURRENT_SOURCE_DIR}/Benchmark_GuardMalloc.in
manual_memory,memory,benchmark/scripts/CMakeLists.txt,5,${CMAKE_CURRENT_BINARY_DIR}/Benchmark_GuardMalloc
manual_memory,memory,benchmark/scripts/CMakeLists.txt,21,file(COPY ${CMAKE_CURRENT_BINARY_DIR}/Benchmark_GuardMalloc
map_dict,expression,CHANGELOG.md,255,calling `Array` and `Dictionary` trailing closure initializers using sugared type syntax:
map_dict,expression,CHANGELOG.md,2289,func getSomeDictionary() -> [some Hashable: some Codable] {
map_dict,expression,CHANGELOG.md,3172,argument during Dictionary access are now diagnosed.
map_dict,expression,CHANGELOG.md,3178,var dictionary = [defaultKey:0]
map_dict,expression,CHANGELOG.md,3181,"dictionary[key, default: dictionary[Container.defaultKey]!] += 1"
map_dict,expression,CHANGELOG.md,3184,"// error: overlapping accesses to 'self.dictionary', but modification requires exclusive access; consider copying to a local variable"
map_dict,expression,CHANGELOG.md,3185,"// dictionary[key, default: dictionary[Container.defaultKey]!] += 1"
map_dict,expression,CHANGELOG.md,3188,"// dictionary[key, default: dictionary[Container.defaultKey]!] += 1"
map_type,type,docs/DynamicCasting.md,214,"For Array, Set, or Dictionary types, you can use the casting operators to translate to another instance of the same outer container (Array, Set, or Dictionary respectively) with a different component type."
map_type,type,docs/TypeChecker.md,525,"solver. For example, consider the following generic dictionary type::"
map_type,type,docs/ABI/Mangling.rst,1004,"type ::= type type 'XSD' // sugared Dictionary type (key, value)"
map_type,type,docs/archive/Generics.rst,631,"SortedDictionary conforming to Comparable, because the SortedDictionary type"
map_type,type,docs/CppInteroperability/CppInteroperabilityManifesto.md,133,"map types, they would look weird and foreign in Swift. Idiomatic Swift code that"
map_type,type,docs/proposals/Accessors.rst,1101,"library dictionary type is implemented with memory, and the two"
map_type,type,include/swift/APIDigester/ModuleAnalyzerNodes.h,171,NodeMap TypeAliasUpdateMap;
map_type,type,include/swift/AST/AnyFunctionRef.h,99,return FD->mapTypeIntoEnvironment(FD->getResultInterfaceType());
member_access,expression,CHANGELOG.md,3072,"Implicit member expressions now support chains of member accesses, making the following valid:"
member_access,expression,docs/DependencyAnalysis.md,32,"- `dynamic-lookup`: use of a specific member accessed through `AnyObject`,"
member_access,expression,docs/DependencyAnalysis.md,33,"which has special `id`-like rules for member accesses, and definitions of"
member_access,expression,docs/TypeChecker.md,318,"application, member access, etc.---generates a specific set of"
member_access,expression,docs/WeakReferences.md,781,"- A member access thereof, possibly recursively."
member_access,expression,docs/archive/Generics.rst,945,"member access). If parsing the type parameter list succeeds, and the closing"
member_access,expression,include/swift/AST/ASTBridging.h,2171,"SWIFT_NAME(""BridgedObjCSelectorExpr.createParsed(_:kind:keywordLoc:lParenLoc:"""
member_access,expression,include/swift/AST/ASTBridging.h,2173,BridgedObjCSelectorExpr BridgedObjCSelectorExpr_createParsed(
memory_model,concurrency,docs/proposals/Concurrency.rst,33,Swift Memory Model
memory_model,concurrency,docs/proposals/Concurrency.rst,94,"The Java memory model ensures that pointers and primitive types, such as ints"
memory_model,concurrency,include/swift/Threading/ThreadSanitizer.h,78,"/// constraint in TSan's happens-before graph, which TSan uses to determine"
memory_model,concurrency,stdlib/include/llvm/Support/Compiler.h,462,// This marker is used to define a happens-before arc. The race detector will
memory_model,concurrency,stdlib/include/llvm/Support/Compiler.h,467,// This marker defines the destination of a happens-before arc.
memory_model,concurrency,stdlib/public/Concurrency/Task.cpp,1769,// Make sure TSan knows that the resume call happens-before the task
memory_model,concurrency,stdlib/public/runtime/ErrorObject.mm,522,// initialization of the object happens-before the domain initialization so
memory_model,concurrency,stdlib/toolchain/Compatibility56/include/Concurrency/TaskPrivate.h,120,/// release() establishes a happens-before relation with a preceding acquire()
module,declaration,CHANGELOG.md,97,"* When building modules using library evolution, Swift now uses module selectors in module interface files by default,"
module,declaration,CHANGELOG.md,100,adding `-Xfrontend -disable-module-selectors-in-module-interface` to `OTHER_SWIFT_FLAGS`.
module,declaration,CHANGELOG.md,323,You can now use a module selector to specify which module Swift should look inside to find a named declaration. A
module,declaration,CHANGELOG.md,324,module selector is written before the name it qualifies and consists of the module name and two colons (`::`):
module,declaration,CHANGELOG.md,328,// modules have also declared a type named `View`:
module,declaration,CHANGELOG.md,332,A module selector can also be applied to the name of a member; this is helpful if extensions in other modules have
module,declaration,CHANGELOG.md,337,// modules have added identical overloads of `data(using:)`.
module,declaration,CHANGELOG.md,341,"When a module selector is used, Swift skips past any enclosing scopes and starts its search at the top level of the"
mutation,effect,CHANGELOG.md,143,// can introduce non-`Sendable` mutable state or protect their state / make everything
mutation,effect,CHANGELOG.md,152,stored or ignored. This addresses a long standing issue where it was too easy to miss that an
mutation,effect,CHANGELOG.md,295,* The raw span accessor properties of `Span` and `MutableSpan` (`bytes` and
mutation,effect,CHANGELOG.md,296,`mutableBytes`) as well as the two generic `append()` methods of
mutation,effect,CHANGELOG.md,303,"stores such a value to addressable memory, it is free to skip any padding"
mutation,effect,CHANGELOG.md,306,"stored. However, when reinterpreting the memory as raw bytes, the potentially"
mutation,effect,CHANGELOG.md,308,`MutableRawSpan` represent fully initialized memory. In the case of
mutation,effect,CHANGELOG.md,312,It is safe to use `bytes` when the `Element` type of `Span` or `MutableSpan`
name_resolution,binding,docs/RequestEvaluator.md,7,"* Lazy type checking uses an ad hoc set of callbacks captured in the [lazy resolver](https://github.com/swiftlang/swift/blob/main/include/swift/AST/LazyResolver.h). This ad hoc recursion can lead to cycles in the type-checking problem (e.g., to compute A we ne"
name_resolution,binding,docs/RequestEvaluator.md,8,"* Because it's not clear which state is set by a given callback in the `LazyResolver`, the callbacks there tend to be very coarse-grained, e.g., ""resolve everything about a declaration that might be used by a client."" This performs too much work in multi-file "
name_resolution,binding,docs/proposals/DeclarationTypeChecker.rst,33,"**Import resolution**: Resolve the import declarations within a source file to refer to modules. Name lookup can now find module-scope names in the current module or any imported module. This is a file-scoped phase, because one need only resolve the imports wi"
name_resolution,binding,docs/proposals/DeclarationTypeChecker.rst,45,"**Primary name binding**: Resolve names to refer to declarations. The vast majority of names within declarations can be bound at this point, with the exception of names that are dependent on a type parameter."
name_resolution,binding,include/swift/AST/Attr.h,1317,LazyMemberLoader *Resolver = nullptr;
name_resolution,binding,include/swift/AST/Attr.h,1318,uint64_t ResolverContextData;
name_resolution,binding,include/swift/AST/Attr.h,1331,"Resolver(nullptr), ResolverContextData(0) {"
name_resolution,binding,include/swift/AST/Attr.h,1335,"DynamicReplacementAttr(DeclNameRef name, LazyMemberLoader *Resolver = nullptr,"
network,effect,CHANGELOG.md,2170,// to account for the potential networking involved:
network,effect,CHANGELOG.md,5919,"errors, such as ""file-not-found"" or network timeouts. Swift's error handling"
network,effect,benchmark/single-source/DictTest.swift,105,"""sabotage"", ""a"", ""network"", ""service"", ""by"", ""submitting"", ""requests"","
network,effect,benchmark/single-source/StringTests.swift,604,"<p>I am delighted to introduce a new open source project for the Swift Server ecosystem, <a href=""https://github.com/apple/swift-nio-ssh"">SwiftNIO SSH</a>. Distributed as a Swift package, SwiftNIO SSH is designed to enable Swift developers to interact with the"
network,effect,docs/CompilerPerformance.md,1063,that caused the regression. If you have more network bandwidth than compute
network,effect,docs/DevelopmentTips.md,94,- `--caching-depscan-socket PATH` — Custom depscan daemon socket (default: `/tmp/clang-scand`).
network,effect,docs/DevelopmentTips.md,98,- `--caching-remote-service-path PATH` — Path to a remote caching service socket. Implies `--caching-prefix-map` and auto-infers the CAS plugin from the toolchain if not provided.
network,effect,docs/DifferentiableProgramming.md,98,* [Feed-forward neural networks (FFNN)](#feed-forward-neural-networks-ffnn)
optimizer,meta,CHANGELOG.md,302,optimization involving values of types that contain padding. When the compiler
optimizer,meta,CHANGELOG.md,304,bytes. This can potentially leave those bytes uninitialized. This optimization
optimizer,meta,CHANGELOG.md,3011,"Note that using an unavailable protocol conformance is a warning, not an error, to avoid potential source compatibility issues. This is because it was technically possible to write code in the past that made use of unavailable protocol conformances but worked "
optimizer,meta,CHANGELOG.md,4220,making their bodies available for optimizations from other modules.
optimizer,meta,CHANGELOG.md,4226,"any other optimization to be performed, nor does it have any effect on"
optimizer,meta,CHANGELOG.md,4227,optimizations performed within a single module.
optimizer,meta,CHANGELOG.md,5108,Note: The type checker performance optimization described by [SE-0091][]
optimizer,meta,CHANGELOG.md,5929,because it prohibits optimizations that depend on not exporting internal
optional_nullable,type,CHANGELOG.md,73,An optional `reason:` parameter accepts a string literal for documentation.
optional_nullable,type,CHANGELOG.md,1018,typealias MyValue = Optional<Int>
optional_nullable,type,CHANGELOG.md,1029,static var number: Optional<Int>
optional_nullable,type,CHANGELOG.md,1936,"* References to `optional` methods on a protocol metatype, as well as references to dynamically looked up methods on `AnyObject` are now supported on par with other function references. The type of such a reference (formerly an immediate optional by mistake) h"
optional_nullable,type,CHANGELOG.md,1946,@objc optional func didUpdateObject(withTag tag: Int)
optional_nullable,type,CHANGELOG.md,2097,It is now possible to unwrap optional variables with a shorthand syntax that
optional_nullable,type,CHANGELOG.md,2790,* The determination of whether a call to a `rethrows` function can throw now considers default arguments of `Optional` type.
optional_nullable,type,CHANGELOG.md,2911,"completionHandler:(void (^)(CKShareParticipant * _Nullable, NSError * _Nullable))completionHandler;"
overload_resolution,type,CHANGELOG.md,333,added an ambiguous overload:
overload_resolution,type,CHANGELOG.md,337,// modules have added identical overloads of `data(using:)`.
overload_resolution,type,CHANGELOG.md,1434,"@attached(peer, names: overloaded)"
overload_resolution,type,CHANGELOG.md,2138,Note that the transition affects function overload resolution and starts an
overload_resolution,type,CHANGELOG.md,3044,"Function overloading now works in local contexts, making the following valid:"
overload_resolution,type,CHANGELOG.md,6846,* Swift now detects discrepancies between overloading and overriding in the
overload_resolution,type,benchmark/single-source/ExecutorEnqueue.swift,14,// enqueue(_ job: UnownedJob) overload versus the preferred
overload_resolution,type,benchmark/single-source/ExecutorEnqueue.swift,15,"// enqueue(_ job: consuming ExecutorJob) overload (SE-0392, Swift 5.9)."
ownership,memory,CHANGELOG.md,1562,"`consume` operator, forwarding ownership to the surrounding call, assignment,"
ownership,memory,CHANGELOG.md,1584,callee is allowed to take ownership of:
ownership,memory,CHANGELOG.md,1693,"In Swift 6, the above code will no longer compile. `weak self` captures in non-escaping closures now have the same behavior as captures in escaping closures (as described in [SE-0365][]). Code relying on the previous behavior will need to be updated to either "
ownership,memory,CHANGELOG.md,3703,`weak` and `unowned` stored properties no longer inhibit the
ownership,memory,CHANGELOG.md,3986,* `unowned` and `unowned(unsafe)` variables now support Optional types.
ownership,memory,CHANGELOG.md,4376,It is no longer valid to use the ownership keywords `weak` and `unowned` for property declarations in protocols. These keywords are meaningless and misleading when used in a protocol as they don't have any effect.
ownership,memory,CHANGELOG.md,4385,unowned var unownedVar: A { get set }
ownership,memory,CHANGELOG.md,6992,"* Unowned references to Objective-C objects, or Swift objects inheriting from"
parameter,declaration,CHANGELOG.md,73,An optional `reason:` parameter accepts a string literal for documentation.
parameter,declaration,CHANGELOG.md,314,to be initialized. The same constraint applies to the type parameter of
parameter,declaration,CHANGELOG.md,342,"module; this means that certain declarations, such as local variables and generic parameter types, cannot be found"
parameter,declaration,CHANGELOG.md,602,an argument exactly matches a parameter with an external property wrapper.
parameter,declaration,CHANGELOG.md,621,initializer injection in the call to `checkValue` because the argument type
parameter,declaration,CHANGELOG.md,622,matched the parameter type exactly.
parameter,declaration,CHANGELOG.md,755,construct a parameter pack of closures where each closure captures the
parameter,declaration,CHANGELOG.md,756,corresponding element of some other parameter pack. For example:
pattern,expression,CHANGELOG.md,319,the non-padding bytes of `Element` must allow every bit pattern to be
pattern,expression,CHANGELOG.md,572,return Int(bitPattern: malloc(size))
pattern,expression,CHANGELOG.md,582,return unsafe Int(bitPattern: malloc(size)) // no warning
pattern,expression,CHANGELOG.md,890,Noncopyable enums can be pattern-matched with switches without consuming the
pattern,expression,CHANGELOG.md,1011,"and usage patterns, however there are two source-break situations which the Swift 6"
pattern,expression,CHANGELOG.md,1068,"supports pattern matching, control transfer statements, and other features"
pattern,expression,CHANGELOG.md,1631,Сollection downcasts in cast patterns are now supported. For example:
pattern,expression,CHANGELOG.md,1712,"First, the deinitializer and most kinds of initializers for `actor` types, and types constrained by a global actor like the `@MainActor`, have revised rules about what expressions are permitted in their body. The goal of these revisions has been to improve lan"
pointer,type,CHANGELOG.md,86,This can be used to unify the imported C pointer type in situations where the visibility of the struct might differ.
pointer,type,CHANGELOG.md,2438,"The conformance of the unsafe pointer types (e.g., `UnsafePointer`,"
